device_id,date,hour,temperature_count,temperature_mean,temperature_std,temperature_min,temperature_max,absolute_humidity_count,absolute_humidity_mean,absolute_humidity_std,absolute_humidity_min,absolute_humidity_max,co2_count,co2_mean,co2_std,co2_min,co2_max
P3,2025-09-08,2,120,33.54487233333334,0.03692954347218549,33.44074,33.62395,120,15.840416666666666,0.018982337360100018,15.78,15.88,120,468.0083333333333,1.8402403630606388,464,473
P3,2025-09-08,3,120,33.534932250000004,0.04254252937731591,33.44992,33.66379,120,15.898083333333334,0.03396230815698511,15.84,16.01,120,469.3,2.374939185422201,461,478
P3,2025-09-08,4,120,33.506749666666664,0.07626742106467098,33.33234,33.67844,120,15.992333333333333,0.03367499966207876,15.91,16.06,120,471.71666666666664,2.162255798941469,465,479
P3,2025-09-08,5,120,33.427413666666666,0.0396188582321434,33.34758,33.55344,120,15.935416666666667,0.026406512862714327,15.87,15.99,120,472.05833333333334,2.5148160409636304,460,477
P3,2025-09-08,6,120,30.555078416666667,2.3392319207970003,27.05129,33.47922,120,13.984583333333335,1.8568582374553018,10.53,16.05,120,427.95,33.405793791250225,400,479
P3,2025-09-08,7,120,27.259119333333334,0.710276682785513,26.03449,28.64426,120,10.854083333333334,0.6741811040547083,9.75,11.77,120,407.05833333333334,9.337100330243365,400,434
P3,2025-09-08,8,30,29.065742,0.20793849764475822,28.64875,29.38976,30,11.173666666666666,0.1236648232350144,11.01,11.39,30,445.3,7.254724976369429,433,457
P3,2025-09-08,20,116,28.804879051724136,0.11340586422210573,28.64211,29.06184,116,10.669137931034482,0.20561495870772042,10.29,10.96,116,633.9051724137931,20.60011753798296,601,668
P3,2025-09-08,21,120,30.47345675,0.44142486282446464,28.98215,30.87141,120,11.478416666666668,0.4712400873100221,10.52,12.2,120,576.5166666666667,12.758904179213218,558,604
P3,2025-09-08,22,120,31.102838583333334,0.1341488092531057,30.86672,31.36203,120,12.451083333333335,0.19380227224749558,12.05,12.74,120,544.725,8.86970341417692,529,561
P3,2025-09-08,23,120,31.417127,0.029003626014979505,31.34387,31.46926,120,12.927666666666665,0.11488930246427649,12.7,13.14,120,518.5916666666667,5.821570773812485,507,531
P3,2025-09-09,0,120,31.53417125,0.07694618423399488,31.40988,31.67746,120,13.189416666666666,0.07863644496154655,13.0,13.36,120,499.05,5.923674194820735,489,510
